,title,date,article_id,url,main_topic,all_topics,authors,year
208,Exploring Optimal Granularity for Extractive Summarization of Unstructured Health Records: Analysis of the Largest Multi-Institutional Archive of Health Records in Japan,2022-09-20 23:26:02+00:00,2209.10041v2,http://arxiv.org/abs/2209.10041v2,cs.CL,cs.CL,Kenichiro Ando;Takashi Okumura;Mamoru Komachi;Hiromasa Horiguchi;Yuji Matsumoto,2022
209,Topic-aware Pointer-Generator Networks for Summarizing Spoken Conversations,2019-10-03 07:48:32+00:00,1910.01335v1,http://arxiv.org/abs/1910.01335v1,cs.CL,cs.CL,Zhengyuan Liu;Angela Ng;Sheldon Lee;Ai Ti Aw;Nancy F. Chen,2019
210,Speech Summarization using Restricted Self-Attention,2021-10-12 18:21:23+00:00,2110.06263v2,http://arxiv.org/abs/2110.06263v2,cs.CL,cs.CL;cs.AI;cs.SD;eess.AS,Roshan Sharma;Shruti Palaskar;Alan W Black;Florian Metze,2021
211,Generating Abstractive Summaries from Meeting Transcripts,2016-09-22 15:50:50+00:00,1609.07033v1,http://arxiv.org/abs/1609.07033v1,cs.CL,cs.CL,Siddhartha Banerjee;Prasenjit Mitra;Kazunari Sugiyama,2016
212,"Trivergence of Probability Distributions, at glance",2015-06-20 06:38:29+00:00,1506.06205v1,http://arxiv.org/abs/1506.06205v1,cs.IT,cs.IT;math.IT,Juan-Manuel Torres-Moreno,2015
213,Automatic Summarization of Open-Domain Podcast Episodes,2020-11-09 01:31:05+00:00,2011.04132v2,http://arxiv.org/abs/2011.04132v2,cs.CL,cs.CL,Kaiqiang Song;Chen Li;Xiaoyang Wang;Dong Yu;Fei Liu,2020
214,Selective Attention Encoders by Syntactic Graph Convolutional Networks for Document Summarization,2020-03-18 01:30:02+00:00,2003.08004v1,http://arxiv.org/abs/2003.08004v1,cs.CL,cs.CL;cs.LG,Haiyang Xu;Yun Wang;Kun Han;Baochang Ma;Junwen Chen;Xiangang Li,2020
215,Toward Unifying Text Segmentation and Long Document Summarization,2022-10-28 22:07:10+00:00,2210.16422v1,http://arxiv.org/abs/2210.16422v1,cs.CL,cs.CL,Sangwoo Cho;Kaiqiang Song;Xiaoyang Wang;Fei Liu;Dong Yu,2022
216,Indian Legal Text Summarization: A Text Normalisation-based Approach,2022-06-13 15:16:50+00:00,2206.06238v2,http://arxiv.org/abs/2206.06238v2,cs.CL,cs.CL,Satyajit Ghosh;Mousumi Dutta;Tanaya Das,2022
217,Survey of Query-based Text Summarization,2022-09-17 05:34:32+00:00,2211.11548v1,http://arxiv.org/abs/2211.11548v1,cs.IR,cs.IR;cs.CL,Hang Yu,2022
218,RISE: Leveraging Retrieval Techniques for Summarization Evaluation,2022-12-17 01:09:22+00:00,2212.08775v1,http://arxiv.org/abs/2212.08775v1,cs.CL,cs.CL,David Uthus;Jianmo Ni,2022
219,Attention-based Neural Text Segmentation,2018-08-29 17:29:12+00:00,1808.09935v1,http://arxiv.org/abs/1808.09935v1,cs.LG,cs.LG;stat.ML,Pinkesh Badjatiya;Litton J Kurisinkel;Manish Gupta;Vasudeva Varma,2018
220,A Hybrid Approach to Extract Keyphrases from Medical Documents,2013-03-06 20:09:05+00:00,1303.1441v2,http://arxiv.org/abs/1303.1441v2,cs.IR,cs.IR;cs.CL,Kamal Sarkar,2013
221,Mining the Web for Lexical Knowledge to Improve Keyphrase Extraction: Learning from Labeled and Unlabeled Data,2002-12-08 18:52:33+00:00,0212011v1,http://arxiv.org/abs/cs/0212011v1,cs.LG,cs.LG;cs.IR;H.3.1; H.3.3; I.2.6; I.2.7,Peter D. Turney,2002
222,Extractive Multi-document Summarization Using Multilayer Networks,2017-11-07 17:01:55+00:00,1711.02608v1,http://arxiv.org/abs/1711.02608v1,cs.CL,cs.CL,Jorge V. Tohalino;Diego R. Amancio,2017
223,Topic-Guided Abstractive Multi-Document Summarization,2021-10-21 15:32:30+00:00,2110.11207v1,http://arxiv.org/abs/2110.11207v1,cs.CL,cs.CL;cs.AI,Peng Cui;Le Hu,2021
224,How to Write Summaries with Patterns? Learning towards Abstractive Summarization through Prototype Editing,2019-09-19 07:36:54+00:00,1909.08837v1,http://arxiv.org/abs/1909.08837v1,cs.CL,cs.CL,Shen Gao;Xiuying Chen;Piji Li;Zhangming Chan;Dongyan Zhao;Rui Yan,2019
225,Text Summarization using Abstract Meaning Representation,2017-06-06 10:04:45+00:00,1706.01678v3,http://arxiv.org/abs/1706.01678v3,cs.CL,cs.CL,Shibhansh Dohare;Harish Karnick;Vivek Gupta,2017
226,Long Document Summarization with Top-down and Bottom-up Inference,2022-03-15 01:24:51+00:00,2203.07586v1,http://arxiv.org/abs/2203.07586v1,cs.CL,cs.CL,Bo Pang;Erik Nijkamp;Wojciech Kryściński;Silvio Savarese;Yingbo Zhou;Caiming Xiong,2022
227,Revisiting Automatic Question Summarization Evaluation in the Biomedical Domain,2023-03-18 04:28:01+00:00,2303.10328v1,http://arxiv.org/abs/2303.10328v1,cs.CL,cs.CL,Hongyi Yuan;Yaoyun Zhang;Fei Huang;Songfang Huang,2023
228,"A comprehensive review of automatic text summarization techniques: method, data, evaluation and coding",2023-01-04 19:20:18+00:00,2301.03403v2,http://arxiv.org/abs/2301.03403v2,cs.CL,cs.CL;cs.LG,Daniel O. Cajueiro;Arthur G. Nery;Igor Tavares;Maísa K. De Melo;Silvia A. dos Reis;Li Weigang;Victor R. R. Celestino,2023
229,Automatic Summarization System coupled with a Question-Answering System (QAAS),2009-05-18 21:35:52+00:00,0905.2990v1,http://arxiv.org/abs/0905.2990v1,cs.IR,cs.IR;cs.CL,Juan-Manuel Torres-Moreno;Pier-Luc St-Onge;Michel Gagnon;Marc El-Bèze;Patrice Bellot,2009
230,Multi-News: a Large-Scale Multi-Document Summarization Dataset and Abstractive Hierarchical Model,2019-06-04 23:00:43+00:00,1906.01749v3,http://arxiv.org/abs/1906.01749v3,cs.CL,cs.CL,Alexander R. Fabbri;Irene Li;Tianwei She;Suyi Li;Dragomir R. Radev,2019
231,AgreeSum: Agreement-Oriented Multi-Document Summarization,2021-06-04 06:17:49+00:00,2106.02278v1,http://arxiv.org/abs/2106.02278v1,cs.CL,cs.CL,Richard Yuanzhe Pang;Adam D. Lelkes;Vinh Q. Tran;Cong Yu,2021
232,Corpus-based Web Document Summarization using Statistical and Linguistic Approach,2013-04-09 07:30:20+00:00,1304.2476v1,http://arxiv.org/abs/1304.2476v1,cs.IR,cs.IR;cs.CL,Rushdi Shams;M. M. A. Hashem;Afrina Hossain;Suraiya Rumana Akter;Monika Gope,2013
233,Centrality-as-Relevance: Support Sets and Similarity as Geometric Proximity,2014-01-16 05:23:22+00:00,1401.3908v1,http://arxiv.org/abs/1401.3908v1,cs.IR,cs.IR;cs.CL,Ricardo Ribeiro;David Martins de Matos,2014
234,Summarizing Text on Any Aspects: A Knowledge-Informed Weakly-Supervised Approach,2020-10-14 03:20:46+00:00,2010.06792v2,http://arxiv.org/abs/2010.06792v2,cs.CL,cs.CL;cs.LG,Bowen Tan;Lianhui Qin;Eric P. Xing;Zhiting Hu,2020
235,Unsupervised Extractive Summarization by Human Memory Simulation,2021-04-16 22:49:38+00:00,2104.08392v1,http://arxiv.org/abs/2104.08392v1,cs.CL,cs.CL,Ronald Cardenas;Matthias Galle;Shay B. Cohen,2021
236,Entity-based SpanCopy for Abstractive Summarization to Improve the Factual Consistency,2022-09-07 21:38:08+00:00,2209.03479v1,http://arxiv.org/abs/2209.03479v1,cs.CL,cs.CL,Wen Xiao;Giuseppe Carenini,2022
237,Liputan6: A Large-scale Indonesian Dataset for Text Summarization,2020-11-02 02:01:12+00:00,2011.00679v1,http://arxiv.org/abs/2011.00679v1,cs.CL,cs.CL,Fajri Koto;Jey Han Lau;Timothy Baldwin,2020
238,Query-Based Abstractive Summarization Using Neural Networks,2017-12-17 12:42:51+00:00,1712.06100v1,http://arxiv.org/abs/1712.06100v1,cs.CL,cs.CL,Johan Hasselqvist;Niklas Helmertz;Mikael Kågebäck,2017
239,A Survey on Aspect-Based Sentiment Classification,2022-03-27 10:15:00+00:00,2203.14266v1,http://arxiv.org/abs/2203.14266v1,cs.CL,cs.CL;A.1; I.2.7,Gianni Brauwers;Flavius Frasincar,2022
240,Incorporating Question Answering-Based Signals into Abstractive Summarization via Salient Span Selection,2021-11-15 17:36:41+00:00,2111.07935v2,http://arxiv.org/abs/2111.07935v2,cs.CL,cs.CL,Daniel Deutsch;Dan Roth,2021
241,AnswerSumm: A Manually-Curated Dataset and Pipeline for Answer Summarization,2021-11-11 21:48:02+00:00,2111.06474v2,http://arxiv.org/abs/2111.06474v2,cs.CL,cs.CL,Alexander R. Fabbri;Xiaojian Wu;Srini Iyer;Haoran Li;Mona Diab,2021
242,Few-shot Query-Focused Summarization with Prefix-Merging,2022-11-29 12:48:37+00:00,2211.16164v1,http://arxiv.org/abs/2211.16164v1,cs.CL,cs.CL;cs.AI,Ruifeng Yuan;Zili Wang;Ziqiang Cao;Wenjie Li,2022
243,Enhancing Keyphrase Extraction from Academic Articles with their Reference Information,2021-11-28 11:14:16+00:00,2111.14106v2,http://arxiv.org/abs/2111.14106v2,cs.IR,cs.IR;cs.CL;cs.DL,Chengzhi Zhang;Lei Zhao;Mengyuan Zhao;Yingyi Zhang,2021
244,Extraction of Keyphrases from Text: Evaluation of Four Algorithms,2002-12-08 19:40:42+00:00,0212014v1,http://arxiv.org/abs/cs/0212014v1,cs.LG,cs.LG;cs.IR;H.3.1; H.3.3; I.2.6; I.2.7,Peter D. Turney,2002
245,Evaluation of Text Generation: A Survey,2020-06-26 04:52:48+00:00,2006.14799v2,http://arxiv.org/abs/2006.14799v2,cs.CL,cs.CL;cs.LG,Asli Celikyilmaz;Elizabeth Clark;Jianfeng Gao,2020
246,Bringing Structure into Summaries: a Faceted Summarization Dataset for Long Scientific Documents,2021-05-31 22:58:38+00:00,2106.00130v2,http://arxiv.org/abs/2106.00130v2,cs.CL,cs.CL,Rui Meng;Khushboo Thaker;Lei Zhang;Yue Dong;Xingdi Yuan;Tong Wang;Daqing He,2021
247,Generating a Structured Summary of Numerous Academic Papers: Dataset and Method,2023-02-09 11:42:07+00:00,2302.04580v1,http://arxiv.org/abs/2302.04580v1,cs.CL,cs.CL;cs.AI;I.2.7; I.7,Shuaiqi Liu;Jiannong Cao;Ruosong Yang;Zhiyuan Wen,2023
248,Leveraging Large Text Corpora for End-to-End Speech Summarization,2023-03-02 05:19:49+00:00,2303.00978v1,http://arxiv.org/abs/2303.00978v1,cs.CL,cs.CL;eess.AS,Kohei Matsuura;Takanori Ashihara;Takafumi Moriya;Tomohiro Tanaka;Atsunori Ogawa;Marc Delcroix;Ryo Masumura,2023
249,Enriching and Controlling Global Semantics for Text Summarization,2021-09-22 09:31:50+00:00,2109.10616v1,http://arxiv.org/abs/2109.10616v1,cs.CL,cs.CL,Thong Nguyen;Anh Tuan Luu;Truc Lu;Tho Quan,2021
250,A Summary of the ALQAC 2021 Competition,2022-04-22 14:13:38+00:00,2204.10717v2,http://arxiv.org/abs/2204.10717v2,cs.CL,cs.CL,Nguyen Ha Thanh;Bui Minh Quan;Chau Nguyen;Tung Le;Nguyen Minh Phuong;Dang Tran Binh;Vuong Thi Hai Yen;Teeradaj Racharak;Nguyen Le Minh;Tran Duc Vu;Phan Viet Anh;Nguyen Truong Son;Huy Tien Nguyen;Bhumindr Butr-indr;Peerapon Vateekul;Prachya Boonkwan,2022
251,Condensés de textes par des méthodes numériques,2012-12-09 20:55:52+00:00,1212.1918v1,http://arxiv.org/abs/1212.1918v1,cs.IR,cs.IR;cs.CL,Juan-Manuel Torres-Moreno;Patricia Velázquez-Morales;Jean-Guy Meunier,2012
252,Simple-QE: Better Automatic Quality Estimation for Text Simplification,2020-12-22 22:02:37+00:00,2012.12382v1,http://arxiv.org/abs/2012.12382v1,cs.CL,cs.CL,Reno Kriz;Marianna Apidianaki;Chris Callison-Burch,2020
253,Query-Focused Opinion Summarization for User-Generated Content,2016-06-17 23:05:41+00:00,1606.05702v1,http://arxiv.org/abs/1606.05702v1,cs.CL,cs.CL,Lu Wang;Hema Raghavan;Claire Cardie;Vittorio Castelli,2016
254,Query-adaptive Video Summarization via Quality-aware Relevance Estimation,2017-05-01 16:28:18+00:00,1705.00581v2,http://arxiv.org/abs/1705.00581v2,cs.CV,cs.CV;cs.CL;cs.MM,Arun Balajee Vasudevan;Michael Gygli;Anna Volokitin;Luc Van Gool,2017
255,Audio Summarization with Audio Features and Probability Distribution Divergence,2020-01-20 13:10:01+00:00,2001.07098v2,http://arxiv.org/abs/2001.07098v2,cs.CL,cs.CL;cs.IR,Carlos-Emiliano González-Gallardo;Romain Deveaud;Eric SanJuan;Juan-Manuel Torres-Moreno,2020
256,Hooks in the Headline: Learning to Generate Headlines with Controlled Styles,2020-04-04 17:24:47+00:00,2004.01980v3,http://arxiv.org/abs/2004.01980v3,cs.CL,cs.CL;cs.AI;cs.LG,Di Jin;Zhijing Jin;Joey Tianyi Zhou;Lisa Orii;Peter Szolovits,2020
257,Domain Specific Fine-tuning of Denoising Sequence-to-Sequence Models for Natural Language Summarization,2022-04-06 18:17:14+00:00,2204.09716v1,http://arxiv.org/abs/2204.09716v1,cs.CL,cs.CL;cs.AI;I.2.7,Brydon Parker;Alik Sokolov;Mahtab Ahmed;Matt Kalebic;Sedef Akinli Kocak;Ofer Shai,2022
258,Curriculum-guided Abstractive Summarization for Mental Health Online Posts,2023-02-02 08:48:26+00:00,2302.00954v1,http://arxiv.org/abs/2302.00954v1,cs.CL,cs.CL;cs.AI,Sajad Sotudeh;Nazli Goharian;Hanieh Deilamsalehy;Franck Dernoncourt,2023
259,HydraSum: Disentangling Stylistic Features in Text Summarization using Multi-Decoder Models,2021-10-08 22:49:49+00:00,2110.04400v4,http://arxiv.org/abs/2110.04400v4,cs.CL,cs.CL,Tanya Goyal;Nazneen Fatema Rajani;Wenhao Liu;Wojciech Kryściński,2021
260,A Baseline Analysis for Podcast Abstractive Summarization,2020-08-24 18:38:42+00:00,2008.10648v2,http://arxiv.org/abs/2008.10648v2,cs.CL,cs.CL,Chujie Zheng;Harry Jiannan Wang;Kunpeng Zhang;Ling Fan,2020
261,On the State of German (Abstractive) Text Summarization,2023-01-17 18:59:20+00:00,2301.07095v1,http://arxiv.org/abs/2301.07095v1,cs.CL,cs.CL,Dennis Aumiller;Jing Fan;Michael Gertz,2023
262,From web crawled text to project descriptions: automatic summarizing of social innovation projects,2019-05-22 11:49:37+00:00,1905.09086v1,http://arxiv.org/abs/1905.09086v1,cs.CL,cs.CL;cs.IR;cs.LG,Nikola Milosevic;Dimitar Marinov;Abdullah Gok;Goran Nenadic,2019
263,A Hybrid Word-Character Approach to Abstractive Summarization,2018-02-27 15:31:11+00:00,1802.09968v2,http://arxiv.org/abs/1802.09968v2,cs.CL,cs.CL,Chieh-Teng Chang;Chi-Chia Huang;Chih-Yuan Yang;Jane Yung-Jen Hsu,2018
264,Bengali Abstractive News Summarization(BANS): A Neural Attention Approach,2020-12-03 08:17:31+00:00,2012.01747v1,http://arxiv.org/abs/2012.01747v1,cs.CL,cs.CL;cs.AI,Prithwiraj Bhattacharjee;Avi Mallick;Md Saiful Islam;Marium-E-Jannat,2020
265,Abstractive and Extractive Text Summarization using Document Context Vector and Recurrent Neural Networks,2018-07-20 18:56:32+00:00,1807.08000v2,http://arxiv.org/abs/1807.08000v2,cs.CL,cs.CL,Chandra Khatri;Gyanit Singh;Nish Parikh,2018
266,Keyphrase Based Arabic Summarizer (KPAS),2012-06-23 12:19:38+00:00,1206.5384v1,http://arxiv.org/abs/1206.5384v1,cs.CL,cs.CL;cs.AI,Tarek El-Shishtawy;Fatma El-Ghannam,2012
267,Reference and Document Aware Semantic Evaluation Methods for Korean Language Summarization,2020-04-29 08:26:30+00:00,2005.03510v2,http://arxiv.org/abs/2005.03510v2,cs.CL,cs.CL;cs.LG;stat.ML,Dongyub Lee;Myeongcheol Shin;Taesun Whang;Seungwoo Cho;Byeongil Ko;Daniel Lee;Eunggyun Kim;Jaechoon Jo,2020
268,Variations of the Similarity Function of TextRank for Automated Summarization,2016-02-11 02:39:21+00:00,1602.03606v1,http://arxiv.org/abs/1602.03606v1,cs.CL,cs.CL;cs.IR;I.2.7,Federico Barrios;Federico López;Luis Argerich;Rosa Wachenchauzer,2016
269,Abstractive Meeting Summarization UsingDependency Graph Fusion,2016-09-22 15:53:04+00:00,1609.07035v1,http://arxiv.org/abs/1609.07035v1,cs.CL,cs.CL,Siddhartha Banerjee;Prasenjit Mitra;Kazunari Sugiyama,2016
270,SupMMD: A Sentence Importance Model for Extractive Summarization using Maximum Mean Discrepancy,2020-10-06 09:26:55+00:00,2010.02568v1,http://arxiv.org/abs/2010.02568v1,cs.CL,cs.CL,Umanga Bista;Alexander Patrick Mathews;Aditya Krishna Menon;Lexing Xie,2020
271,RetrievalSum: A Retrieval Enhanced Framework for Abstractive Summarization,2021-09-16 12:52:48+00:00,2109.07943v2,http://arxiv.org/abs/2109.07943v2,cs.CL,cs.CL,Chenxin An;Ming Zhong;Zhichao Geng;Jianqiang Yang;Xipeng Qiu,2021
272,IntentVizor: Towards Generic Query Guided Interactive Video Summarization,2021-09-30 03:44:02+00:00,2109.14834v2,http://arxiv.org/abs/2109.14834v2,cs.CV,cs.CV,Guande Wu;Jianzhe Lin;Claudio T. Silva,2021
273,Transforming Wikipedia into Augmented Data for Query-Focused Summarization,2019-11-08 15:28:21+00:00,1911.03324v2,http://arxiv.org/abs/1911.03324v2,cs.CL,cs.CL,Haichao Zhu;Li Dong;Furu Wei;Bing Qin;Ting Liu,2019
274,SumREN: Summarizing Reported Speech about Events in News,2022-12-02 12:51:39+00:00,2212.01146v2,http://arxiv.org/abs/2212.01146v2,cs.CL,cs.CL,Revanth Gangi Reddy;Heba Elfardy;Hou Pong Chan;Kevin Small;Heng Ji,2022
275,HETFORMER: Heterogeneous Transformer with Sparse Attention for Long-Text Extractive Summarization,2021-10-12 22:42:31+00:00,2110.06388v2,http://arxiv.org/abs/2110.06388v2,cs.CL,cs.CL;cs.AI;cs.LG,Ye Liu;Jian-Guo Zhang;Yao Wan;Congying Xia;Lifang He;Philip S. Yu,2021
276,An Effective Contextual Language Modeling Framework for Speech Summarization with Augmented Features,2020-06-01 18:27:48+00:00,2006.01189v1,http://arxiv.org/abs/2006.01189v1,cs.CL,cs.CL,Shi-Yan Weng;Tien-Hong Lo;Berlin Chen,2020
277,BASS: Boosting Abstractive Summarization with Unified Semantic Graph,2021-05-25 16:20:48+00:00,2105.12041v1,http://arxiv.org/abs/2105.12041v1,cs.CL,cs.CL,Wenhao Wu;Wei Li;Xinyan Xiao;Jiachen Liu;Ziqiang Cao;Sujian Li;Hua Wu;Haifeng Wang,2021
278,CiteSum: Citation Text-guided Scientific Extreme Summarization and Domain Adaptation with Limited Supervision,2022-05-12 16:44:19+00:00,2205.06207v2,http://arxiv.org/abs/2205.06207v2,cs.CL,cs.CL,Yuning Mao;Ming Zhong;Jiawei Han,2022
279,Structuring an unordered text document,2019-01-29 06:53:21+00:00,1901.10133v1,http://arxiv.org/abs/1901.10133v1,cs.IR,cs.IR;cs.CL,Shashank Yadav;Tejas Shimpi;C. Ravindranath Chowdary;Prashant Sharma;Deepansh Agrawal;Shivang Agarwal,2019
280,San-BERT: Extractive Summarization for Sanskrit Documents using BERT and it's variants,2023-04-04 15:47:26+00:00,2304.01894v1,http://arxiv.org/abs/2304.01894v1,cs.CL,cs.CL,Kartik Bhatnagar;Sampath Lonka;Jammi Kunal;Mahabala Rao M G,2023
281,Topic Sensitive Neural Headline Generation,2016-08-20 03:43:29+00:00,1608.05777v1,http://arxiv.org/abs/1608.05777v1,cs.CL,cs.CL,Lei Xu;Ziyun Wang;Ayana;Zhiyuan Liu;Maosong Sun,2016
282,Enhancing Factual Consistency of Abstractive Summarization,2020-03-19 07:36:10+00:00,2003.08612v8,http://arxiv.org/abs/2003.08612v8,cs.CL,cs.CL,Chenguang Zhu;William Hinthorn;Ruochen Xu;Qingkai Zeng;Michael Zeng;Xuedong Huang;Meng Jiang,2020
283,Metrics also Disagree in the Low Scoring Range: Revisiting Summarization Evaluation Metrics,2020-11-08 22:26:06+00:00,2011.04096v1,http://arxiv.org/abs/2011.04096v1,cs.CL,cs.CL;cs.AI,Manik Bhandari;Pranav Gour;Atabak Ashfaq;Pengfei Liu,2020
284,Intweetive Text Summarization,2020-01-16 08:38:40+00:00,2001.11382v1,http://arxiv.org/abs/2001.11382v1,cs.CL,cs.CL;cs.IR,Jean Valère Cossu;Juan-Manuel Torres-Moreno;Eric SanJuan;Marc El-Bèze,2020
285,A Neural Model for Generating Natural Language Summaries of Program Subroutines,2019-02-05 22:16:02+00:00,1902.01954v1,http://arxiv.org/abs/1902.01954v1,cs.SE,cs.SE,Alexander LeClair;Siyuan Jiang;Collin McMillan,2019
286,"""TL;DR:"" Out-of-Context Adversarial Text Summarization and Hashtag Recommendation",2021-04-01 22:03:44+00:00,2104.00782v1,http://arxiv.org/abs/2104.00782v1,cs.CL,cs.CL;cs.CR;cs.IR,Peter Jachim;Filipo Sharevski;Emma Pieroni,2021
287,Scientific document summarization via citation contextualization and scientific discourse,2017-06-12 03:21:38+00:00,1706.03449v1,http://arxiv.org/abs/1706.03449v1,cs.CL,cs.CL;cs.DL,Arman Cohan;Nazli Goharian,2017
288,What is this Article about? Extreme Summarization with Topic-aware Convolutional Neural Networks,2019-07-19 22:57:21+00:00,1907.08722v1,http://arxiv.org/abs/1907.08722v1,cs.CL,cs.CL,Shashi Narayan;Shay B. Cohen;Mirella Lapata,2019
289,Open4Business(O4B): An Open Access Dataset for Summarizing Business Documents,2020-11-15 22:00:07+00:00,2011.07636v3,http://arxiv.org/abs/2011.07636v3,cs.IR,cs.IR;cs.AI;cs.CL,Amanpreet Singh;Niranjan Balasubramanian,2020
290,A Survey on Biomedical Text Summarization with Pre-trained Language Model,2023-04-18 06:38:40+00:00,2304.08763v1,http://arxiv.org/abs/2304.08763v1,cs.CL,cs.CL,Qianqian Xie;Zheheng Luo;Benyou Wang;Sophia Ananiadou,2023
291,A Lemma Based Evaluator for Semitic Language Text Summarization Systems,2014-03-22 00:13:03+00:00,1403.5596v1,http://arxiv.org/abs/1403.5596v1,cs.CL,cs.CL;cs.IR,Tarek El-Shishtawy;Fatma El-Ghannam,2014
292,Dimsum @LaySumm 20: BART-based Approach for Scientific Document Summarization,2020-10-19 06:36:11+00:00,2010.09252v1,http://arxiv.org/abs/2010.09252v1,cs.CL,cs.CL,Tiezheng Yu;Dan Su;Wenliang Dai;Pascale Fung,2020
293,Analyzing Sentence Fusion in Abstractive Summarization,2019-10-01 05:22:19+00:00,1910.00203v1,http://arxiv.org/abs/1910.00203v1,cs.CL,cs.CL,Logan Lebanoff;John Muchovej;Franck Dernoncourt;Doo Soon Kim;Seokhwan Kim;Walter Chang;Fei Liu,2019
294,TED: A Pretrained Unsupervised Summarization Model with Theme Modeling and Denoising,2020-01-03 05:15:41+00:00,2001.00725v3,http://arxiv.org/abs/2001.00725v3,cs.CL,cs.CL,Ziyi Yang;Chenguang Zhu;Robert Gmyr;Michael Zeng;Xuedong Huang;Eric Darve,2020
295,LoRaLay: A Multilingual and Multimodal Dataset for Long Range and Layout-Aware Summarization,2023-01-26 18:50:54+00:00,2301.11312v1,http://arxiv.org/abs/2301.11312v1,cs.CL,cs.CL,Laura Nguyen;Thomas Scialom;Benjamin Piwowarski;Jacopo Staiano,2023
296,Automatic Text Simplification of News Articles in the Context of Public Broadcasting,2022-12-26 22:59:57+00:00,2212.13317v1,http://arxiv.org/abs/2212.13317v1,cs.CL,cs.CL;cs.AI;cs.LG,Diego Maupomé;Fanny Rancourt;Thomas Soulas;Alexandre Lachance;Marie-Jean Meurs;Desislava Aleksandrova;Olivier Brochu Dufour;Igor Pontes;Rémi Cardon;Michel Simard;Sowmya Vajjala,2022
297,Multiplex Graph Neural Network for Extractive Text Summarization,2021-08-29 16:11:01+00:00,2108.12870v2,http://arxiv.org/abs/2108.12870v2,cs.CL,cs.CL,Baoyu Jing;Zeyu You;Tao Yang;Wei Fan;Hanghang Tong,2021
298,Sequence Level Contrastive Learning for Text Summarization,2021-09-08 08:00:36+00:00,2109.03481v4,http://arxiv.org/abs/2109.03481v4,cs.CL,cs.CL,Shusheng Xu;Xingxing Zhang;Yi Wu;Furu Wei,2021
299,A Semantic Relevance Based Neural Network for Text Summarization and Text Simplification,2017-10-06 09:06:33+00:00,1710.02318v1,http://arxiv.org/abs/1710.02318v1,cs.CL,cs.CL,Shuming Ma;Xu Sun,2017
300,Improving Factual Consistency of Abstractive Summarization via Question Answering,2021-05-10 19:07:21+00:00,2105.04623v1,http://arxiv.org/abs/2105.04623v1,cs.CL,cs.CL;cs.AI,Feng Nan;Cicero Nogueira dos Santos;Henghui Zhu;Patrick Ng;Kathleen McKeown;Ramesh Nallapati;Dejiao Zhang;Zhiguo Wang;Andrew O. Arnold;Bing Xiang,2021
301,MUDOS-NG: Multi-document Summaries Using N-gram Graphs (Tech Report),2010-12-09 16:15:34+00:00,1012.2042v1,http://arxiv.org/abs/1012.2042v1,cs.CL,cs.CL;cs.AI,George Giannakopoulos;George Vouros;Vangelis Karkaletsis,2010
302,Combining Word Embeddings and N-grams for Unsupervised Document Summarization,2020-04-25 00:22:46+00:00,2004.14119v1,http://arxiv.org/abs/2004.14119v1,cs.CL,cs.CL;cs.LG;stat.ML,Zhuolin Jiang;Manaj Srivastava;Sanjay Krishna;David Akodes;Richard Schwartz,2020
303,Text Summarization with Oracle Expectation,2022-09-26 14:10:08+00:00,2209.12714v1,http://arxiv.org/abs/2209.12714v1,cs.CL,cs.CL;cs.LG,Yumo Xu;Mirella Lapata,2022
304,TREC 2020 Podcasts Track Overview,2021-03-29 20:58:10+00:00,2103.15953v1,http://arxiv.org/abs/2103.15953v1,cs.IR,cs.IR;cs.CL,Rosie Jones;Ben Carterette;Ann Clifton;Maria Eskevich;Gareth J. F. Jones;Jussi Karlgren;Aasish Pappu;Sravana Reddy;Yongze Yu,2021
305,Spotify at TREC 2020: Genre-Aware Abstractive Podcast Summarization,2021-04-07 18:27:28+00:00,2104.03343v1,http://arxiv.org/abs/2104.03343v1,cs.CL,cs.CL,Rezvaneh Rezapour;Sravana Reddy;Ann Clifton;Rosie Jones,2021
306,Controllable Abstractive Dialogue Summarization with Sketch Supervision,2021-05-28 19:05:36+00:00,2105.14064v2,http://arxiv.org/abs/2105.14064v2,cs.CL,cs.CL;cs.AI,Chien-Sheng Wu;Linqing Liu;Wenhao Liu;Pontus Stenetorp;Caiming Xiong,2021
307,Coherent Keyphrase Extraction via Web Mining,2003-08-20 20:42:19+00:00,0308033v1,http://arxiv.org/abs/cs/0308033v1,cs.LG,cs.LG;cs.CL;cs.IR;H.3.1; H.3.3; I.2.6; I.2.7,Peter D. Turney,2003
308,Utilização de Grafos e Matriz de Similaridade na Sumarização Automática de Documentos Baseada em Extração de Frases,2016-02-05 14:54:57+00:00,1602.02047v1,http://arxiv.org/abs/1602.02047v1,cs.CL,cs.CL;cs.IR,Elvys Linhares Pontes,2016
309,Describing Differences between Text Distributions with Natural Language,2022-01-28 18:38:13+00:00,2201.12323v2,http://arxiv.org/abs/2201.12323v2,cs.CL,cs.CL;cs.AI;cs.LG,Ruiqi Zhong;Charlie Snell;Dan Klein;Jacob Steinhardt,2022
310,Applying Automatic Text Summarization for Fake News Detection,2022-04-04 21:00:55+00:00,2204.01841v1,http://arxiv.org/abs/2204.01841v1,cs.CL,cs.CL;cs.AI,Philipp Hartl;Udo Kruschwitz,2022
